,condition_x,Baseline,Day 1,Day 2,Day 3,Day 4,Day 5,Weekend 1,Day 6,Day 7,Day 8,Day 9,Day 10,Weekend 2,Norstat ID
0,3.0,1.0,0,0,1,1,1,1.0,1,0,0,0,0,1.0,LDen9K41b1QAElVw
1,5.0,1.0,0,0,0,0,0,1.0,1,1,1,1,1,1.0,YXrqo4l375NoMZdm
2,3.0,1.0,1,1,1,1,1,1.0,0,0,1,1,1,1.0,81K7AmYRz66AZmyO
3,4.0,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,RWLV2ZQqQjzo5vN3
4,5.0,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,zExm2JmdXQ1o6PyK
5,5.0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,,Elb8AvB1Dv5ApLX5
6,1.0,1.0,0,1,1,1,1,1.0,1,1,1,1,1,1.0,QGYe2jXzkV5AgrXp
7,1.0,1.0,0,1,1,1,1,1.0,1,1,1,1,1,1.0,qRZK2gj6ebyobdka
8,2.0,99.0,0,0,0,0,0,99.0,0,0,0,0,0,,nKY7owOmG8noG3v4
9,2.0,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,nKY7oww4YNdoG3v4
10,2.0,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,nKY7owOmG8noG3v4
11,1.0,1.0,0,1,1,1,1,1.0,1,0,1,1,1,1.0,zExm2JXQdxkA6PyK
12,1.0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,LKkR2XmY6km9ZaYV
13,2.0,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,xgOVA1gqz3K2elJ1
14,2.0,1.0,1,0,0,1,1,1.0,0,1,1,1,1,99.0,j1Le2D3ZjOkoxEOy
15,2.0,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,jnWOo0v4q0w9Xzex
16,4.0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,1.0,kqPlARmepE49WndY
17,2.0,1.0,1,1,1,1,1,1.0,1,1,0,0,0,1.0,vGWjoqeyLZBozDOX
18,5.0,1.0,1,1,1,1,1,1.0,1,0,1,1,1,1.0,W7mLA5JvO8ZoN6n1
19,5.0,1.0,0,1,0,0,0,1.0,0,0,0,0,0,1.0,p3MN23KByN42l1ag
20,3.0,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,nKY7owdrzB32G3v4
21,4.0,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,jnWOo0XGGJXoXzex
22,2.0,1.0,1,0,0,1,1,1.0,0,1,1,1,1,1.0,ybDaoyX3DlZAQdvY
23,2.0,1.0,1,1,1,0,1,1.0,1,1,1,1,1,1.0,beaJAWr3xKW9vw16
24,4.0,1.0,1,1,1,0,1,1.0,1,1,1,1,1,1.0,YXrqo4Z6Y4X9MZdm
25,3.0,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,qRZK2gkyRnY2bdka
26,1.0,1.0,0,1,1,1,1,1.0,0,1,1,1,1,1.0,3YVN2MBpODV9bRn5
27,5.0,1.0,0,0,1,1,1,1.0,0,0,1,0,1,1.0,Yxq827dk5Ra9MWZ0
28,3.0,99.0,0,0,0,0,0,99.0,0,0,0,0,0,,LDen9KrgjlG2ElVw
29,2.0,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,ybDaoyd0vxaAQdvY
30,2.0,1.0,1,1,1,1,1,1.0,1,1,0,1,0,1.0,vGWjoqj4ylv2zDOX
31,3.0,1.0,0,0,1,1,1,1.0,1,1,1,1,1,1.0,vGWjoqn3zQP2zDOX
32,2.0,,0,0,0,0,0,,0,0,0,0,0,,D5je9bGk6zLARMYl
33,1.0,1.0,0,1,1,1,1,1.0,0,0,1,1,1,1.0,QGYe2jXeNNPAgrXp
34,3.0,1.0,0,0,1,1,1,1.0,0,0,1,0,1,1.0,aX8boPdma83oOJrM
35,1.0,1.0,0,1,1,1,1,1.0,1,1,1,1,1,1.0,NaBzAB8BqyO2YyVM
36,2.0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,1.0,ybDaoyd0gzNAQdvY
37,2.0,1.0,0,1,1,1,1,1.0,1,1,1,1,1,1.0,5Ywxodj18qN9Oylz
38,2.0,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,Vj6N985vyYaA8drl
39,3.0,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,mKPv9zWOZWaAyWe7
40,3.0,1.0,0,1,1,0,0,0.0,0,0,0,0,0,,Vj6N985vvQ1A8drl
41,2.0,1.0,1,1,0,0,1,1.0,1,1,1,0,0,1.0,XNdYoQV7pQd2Wq1r
