,condition,User ID,Baseline,Day 1,Day 2,Day 3,Day 4,Day 5,Weekend 1,Day 6,Day 7,Day 8,Day 9,Day 10,Weekend 2,Norstat ID
0,5,111467,1,0,0,0,0,1,1,0,0,0,0,0,99,W7mLA5Oj60d2N6n1
1,5,111468,1,1,1,1,1,1,1,1,1,1,1,1,1,qRZK2gE5zdYAbdka
2,2,111470,1,0,0,0,0,0,1,0,0,0,0,0,1,3YVN2MBw3aE9bRn5
3,1,111471,1,0,1,1,1,1,1,1,1,1,1,1,1,5nJ4Apjq6w42G3kx
4,1,111472,1,0,1,1,1,1,1,1,0,1,1,1,1,ybDaoyd0jKZAQdvY
5,2,111473,1,0,0,0,0,0,1,0,1,1,1,1,1,VXGWAkX43XyovNZ0
6,1,111474,1,0,1,1,1,1,1,1,1,1,1,1,1,W7mLA5804Ga9N6n1
7,1,111475,1,0,1,1,1,1,1,1,1,1,1,1,1,JkVd2n6DK8m2nLDq
8,1,111477,0,0,0,0,0,0,1,0,0,0,0,0,99,YXrqo48YG1roMZdm
9,3,111478,1,0,0,0,0,0,0,0,0,0,0,0,99,YXrqo4XOM6xoMZdm
10,5,111480,1,1,0,1,1,1,1,1,0,1,1,1,1,JkVd2nXmXEkAnLDq
11,4,111481,1,0,1,1,1,1,1,1,1,1,1,0,1,YXrqo4810JVoMZdm
12,2,111482,1,0,0,0,0,0,1,0,0,1,1,1,1,VXGWAkWJavDAvNZ0
13,2,111483,1,1,1,1,1,1,1,1,1,1,1,1,1,LDen9KLNag7AElVw
14,4,111484,1,1,1,1,1,1,1,1,1,1,0,1,1,Elb8AvBwLeJApLX5
15,3,111485,1,1,1,1,1,1,1,1,1,1,1,1,1,zExm2J5mJYro6PyK
16,2,111486,1,0,0,0,0,0,1,0,0,0,0,0,1,j1Le2D8vjrr2xEOy
17,2,111487,1,0,1,1,1,1,1,1,1,1,0,0,1,Yxq827lbrqa9MWZ0
18,1,111488,1,0,1,1,1,1,1,1,0,1,1,1,1,nKY7owOYJ6noG3v4
19,2,111489,1,1,1,1,1,1,1,1,1,1,1,1,1,LDen9KnVR4Q2ElVw
20,3,111490,1,1,1,0,0,1,1,0,0,0,1,1,1,gJdBAExazgY9bz5P
21,3,111491,1,0,0,0,0,0,1,0,0,0,0,0,1,JLQkAYXbJxR9OeDG
22,2,111492,1,1,1,1,1,1,1,1,1,1,1,1,1,YXrqo48GzvGoMZdm
23,2,111493,1,0,0,0,0,0,1,0,0,0,0,0,1,qRZK2gE4pxWAbdka
24,2,111494,1,0,1,1,1,1,1,1,1,1,1,0,1,JLQkAYXbKxK9OeDG
25,2,111495,1,1,1,1,1,1,1,1,1,1,1,1,1,W7mLA5JgWwaoN6n1
26,1,111496,1,0,1,1,1,1,1,1,1,1,0,1,1,kqPlARm3adp9WndY
27,1,111497,1,0,0,1,0,1,1,0,1,1,1,1,99,xgOVA1JNjpkoelJ1
28,3,111498,1,1,0,1,1,0,1,1,1,1,1,0,1,JLQkAYXb7bv9OeDG
29,3,111500,1,1,1,1,1,1,1,0,1,1,1,1,1,nKY7owOYjWdoG3v4
30,2,111501,1,1,1,1,1,1,1,1,1,1,1,1,1,xgOVA1geOWO2elJ1
31,1,111503,1,0,1,1,0,0,99,0,0,0,0,0,99,lzD49LX3YL193Vr8
32,2,111504,1,1,1,1,1,1,1,1,1,1,1,1,1,5nJ4ApEBRkeoG3kx
33,5,111505,1,1,1,1,1,1,1,1,1,1,1,1,1,yNedoamZ5b5oMEjw
34,3,111507,1,1,1,1,1,1,1,1,1,1,1,1,1,W7mLA5Omw5O2N6n1
35,2,111510,1,1,1,1,1,1,1,1,1,1,0,1,1,p3MN234R1DP9l1ag
36,3,111511,1,1,1,1,1,1,1,1,1,1,1,1,1,Vj6N985QYdbA8drl
37,3,111512,1,0,0,0,0,0,1,0,0,0,0,0,1,nKY7owODOR7oG3v4
38,2,111513,1,0,0,0,0,0,1,0,0,0,0,0,1,JkVd2njYMpg2nLDq
39,2,111515,1,0,1,0,0,0,1,1,1,0,1,0,1,Elb8AvBEgB6ApLX5
40,1,111518,1,0,1,1,1,0,1,1,1,1,1,1,1,Vj6N98wwvk128drl
41,3,111522,1,1,1,1,1,1,1,1,1,1,1,1,1,jnWOo0BePYV9Xzex
42,1,111523,1,0,1,1,1,1,1,1,1,1,1,1,1,j1Le2D6jaX3AxEOy
43,2,111527,1,1,1,1,1,1,1,1,1,1,1,1,1,xgOVA1gzDMg2elJ1
44,4,111535,1,1,1,1,1,1,1,1,1,1,1,1,1,81K7AmX1l8Z9ZmyO
45,1,111562,1,0,1,1,1,1,1,1,1,1,1,1,1,vGWjoqnNXZ82zDOX
46,1,111566,1,0,1,0,1,1,1,1,0,0,0,0,1,D5je9bGEdLMARMYl
47,1,111572,1,0,1,1,1,1,1,1,1,1,1,1,1,81K7AmY10XGAZmyO
48,4,111574,1,1,1,1,1,1,1,1,1,1,1,1,1,Yxq827dJ7Zb9MWZ0
49,2,111575,1,0,0,0,1,0,1,0,0,0,0,0,1,xgOVA15w3RKAelJ1
50,4,111576,1,0,0,0,1,1,1,0,0,1,1,0,1,Vw142rv6vOk2aNPX
51,2,111577,1,1,1,1,1,1,1,0,1,1,1,1,1,VXGWAkjOBkv9vNZ0
52,4,111578,1,1,1,1,1,1,1,1,1,1,1,1,1,GLPp2OX1vrB903ym
53,4,111579,1,0,0,1,1,1,1,1,1,1,1,1,99,ybDaoy366mR9QdvY
54,2,111580,1,0,1,0,1,1,1,1,0,0,0,0,1,3YVN2MXmPnYobRn5
55,3,111581,1,0,0,0,0,1,1,1,1,0,1,1,1,nKY7owOzv8LoG3v4
56,3,111582,1,1,1,1,1,1,1,1,1,1,1,1,1,vGWjoqnGJ0v2zDOX
57,2,111583,1,0,0,0,0,0,1,0,0,0,0,0,1,GLPp2OXZMmp903ym
58,5,111584,1,1,1,1,1,1,1,1,1,1,1,1,1,jYWQA6PyNLW2PXKz
59,3,111585,1,0,1,0,1,0,1,1,1,0,0,1,1,JLQkAYq75vVAOeDG
60,5,111586,1,0,0,1,1,1,1,1,0,1,1,1,1,xgOVA18D5Vg9elJ1
61,1,111587,1,0,1,1,1,1,1,1,1,1,1,1,1,mKPv9zwky5KAyWe7
62,3,111588,1,0,0,1,0,0,1,0,0,1,0,0,1,3YVN2MXjeewobRn5
63,5,111589,1,0,1,1,1,1,1,1,0,1,1,1,1,EZ8qoxMeYNq26JVW
64,3,111590,1,0,1,1,1,1,1,1,1,1,1,1,1,yNedoaQ3dMloMEjw
65,3,111591,1,0,1,1,1,1,1,1,1,1,1,1,1,NaBzABEjvY39YyVM
66,4,111592,1,1,1,1,1,1,1,1,1,1,1,1,1,D5je9bGDDQgARMYl
67,3,111593,1,0,0,0,1,0,1,1,0,0,0,0,1,5nJ4Apj68kw2G3kx
68,1,111595,1,0,1,1,1,1,1,1,1,1,1,1,1,jnWOo08G1pqoXzex
69,3,111596,1,0,0,0,0,1,1,0,0,0,0,0,99,LDen9Kn4QvQ2ElVw
70,1,111597,1,0,1,1,1,0,1,1,0,1,1,0,1,3YVN2MBV67p9bRn5
71,2,111598,1,1,1,1,1,1,1,1,1,1,1,1,1,gJdBAE8n1Ba9bz5P
72,3,111599,1,1,1,1,1,1,1,1,0,1,1,1,1,jnWOo0RPD8m9Xzex
73,3,111601,1,1,1,1,1,1,1,1,1,1,1,1,1,lzD49L4RWVk93Vr8
74,3,111602,1,1,1,1,1,1,1,1,1,1,0,1,1,xgOVA1OndMg2elJ1
75,3,111603,1,1,1,1,1,1,1,1,1,1,1,1,1,jnWOo0RPwNW9Xzex
