,condition_x,User ID,Baseline,Day 1,Day 2,Day 3,Day 4,Day 5,Weekend 1,Day 6,Day 7,Day 8,Day 9,Day 10,Weekend 2,Norstat ID
0,3.0,106521,1.0,0,0,1,1,1,1.0,1,0,0,0,0,1.0,LDen9K41b1QAElVw
1,5.0,106522,1.0,0,0,0,0,0,1.0,1,1,1,1,1,1.0,YXrqo4l375NoMZdm
2,3.0,106523,1.0,1,1,1,1,1,1.0,0,0,1,1,1,1.0,81K7AmYRz66AZmyO
3,4.0,106524,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,RWLV2ZQqQjzo5vN3
4,5.0,106526,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,zExm2JmdXQ1o6PyK
5,5.0,106527,1.0,0,0,0,0,0,0.0,0,0,0,0,0,,Elb8AvB1Dv5ApLX5
6,1.0,106531,1.0,0,1,1,1,1,1.0,1,1,1,1,1,1.0,QGYe2jXzkV5AgrXp
7,1.0,106532,1.0,0,1,1,1,1,1.0,1,1,1,1,1,1.0,qRZK2gj6ebyobdka
8,2.0,106533,99.0,0,0,0,0,0,99.0,0,0,0,0,0,,nKY7owOmG8noG3v4
9,2.0,106555,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,nKY7oww4YNdoG3v4
10,2.0,106574,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,nKY7owOmG8noG3v4
11,1.0,106594,1.0,0,1,1,1,1,1.0,1,0,1,1,1,1.0,zExm2JXQdxkA6PyK
12,1.0,106595,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,LKkR2XmY6km9ZaYV
13,2.0,106596,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,xgOVA1gqz3K2elJ1
14,2.0,106600,1.0,1,0,0,1,1,1.0,0,1,1,1,1,99.0,j1Le2D3ZjOkoxEOy
15,2.0,106601,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,jnWOo0v4q0w9Xzex
16,4.0,106602,1.0,0,0,0,0,0,1.0,0,0,0,0,0,1.0,kqPlARmepE49WndY
17,2.0,106629,1.0,1,1,1,1,1,1.0,1,1,0,0,0,1.0,vGWjoqeyLZBozDOX
18,5.0,106632,1.0,1,1,1,1,1,1.0,1,0,1,1,1,1.0,W7mLA5JvO8ZoN6n1
19,5.0,106649,1.0,0,1,0,0,0,1.0,0,0,0,0,0,1.0,p3MN23KByN42l1ag
20,3.0,106886,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,nKY7owdrzB32G3v4
21,4.0,106887,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,jnWOo0XGGJXoXzex
22,2.0,106905,1.0,1,0,0,1,1,1.0,0,1,1,1,1,1.0,ybDaoyX3DlZAQdvY
23,2.0,106916,1.0,1,1,1,0,1,1.0,1,1,1,1,1,1.0,beaJAWr3xKW9vw16
24,4.0,106917,1.0,1,1,1,0,1,1.0,1,1,1,1,1,1.0,YXrqo4Z6Y4X9MZdm
25,3.0,106921,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,qRZK2gkyRnY2bdka
26,1.0,106927,1.0,0,1,1,1,1,1.0,0,1,1,1,1,1.0,3YVN2MBpODV9bRn5
27,5.0,106958,1.0,0,0,1,1,1,1.0,0,0,1,0,1,1.0,Yxq827dk5Ra9MWZ0
28,3.0,107002,99.0,0,0,0,0,0,99.0,0,0,0,0,0,,LDen9KrgjlG2ElVw
29,2.0,107053,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,ybDaoyd0vxaAQdvY
30,2.0,107065,1.0,1,1,1,1,1,1.0,1,1,0,1,0,1.0,vGWjoqj4ylv2zDOX
31,3.0,107178,1.0,0,0,1,1,1,1.0,1,1,1,1,1,1.0,vGWjoqn3zQP2zDOX
32,1.0,107180,1.0,0,1,1,1,1,1.0,0,0,1,1,1,1.0,QGYe2jXeNNPAgrXp
33,3.0,107181,1.0,0,0,1,1,1,1.0,0,0,1,0,1,1.0,aX8boPdma83oOJrM
34,1.0,107182,1.0,0,1,1,1,1,1.0,1,1,1,1,1,1.0,NaBzAB8BqyO2YyVM
35,2.0,107183,1.0,0,0,0,0,0,1.0,0,0,0,0,0,1.0,ybDaoyd0gzNAQdvY
36,2.0,107185,1.0,0,1,1,1,1,1.0,1,1,1,1,1,1.0,5Ywxodj18qN9Oylz
37,2.0,107186,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,Vj6N985vyYaA8drl
38,3.0,107223,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,mKPv9zWOZWaAyWe7
39,3.0,107228,1.0,0,1,1,0,0,0.0,0,0,0,0,0,,Vj6N985vvQ1A8drl
40,2.0,107285,1.0,1,1,0,0,1,1.0,1,1,1,0,0,1.0,XNdYoQV7pQd2Wq1r
41,1.0,107306,0.0,0,0,0,0,0,0.0,0,0,0,0,0,99.0,
